town_estate,shs_year,population,pct_below15,pct_15_24,pct_25_34,pct_35_44,pct_45_54,pct_55_64,pct_65andabove
Ang Mo Kio,2018,126300,11.4,9.7,10.3,12.5,13.6,17.9,24.6
Bedok,2018,174900,9.6,13.6,13.6,9,13.9,18.5,21.8
Bishan,2018,55600,9.8,13.3,10,12.9,14.2,19.9,19.9
Bukit Batok,2018,107200,12.1,13.5,11.3,11.5,16.3,18.1,17.2
Bukit Merah,2018,134700,12.2,9,9.6,12.8,14.1,16.6,25.7
Bukit Panjang,2018,114800,13.4,13.5,14.4,10.3,16.4,17.2,14.8
Bukit Timah,2018,7600,11.4,11.9,11.1,10.6,12,20,23
Central Area,2018,30300,12.4,8.7,8.3,12.8,15.2,16,26.6
Choa Chu Kang,2018,167200,13.1,19,12.1,12.1,16.6,15.9,11.2
Clementi,2018,70200,11.7,11,11.1,13.1,12.7,16.3,24.1
Geylang,2018,75400,11.5,10.4,11.5,12.6,14.8,14.6,24.6
Hougang,2018,163700,12.1,13.5,11,13.4,16.9,16.6,16.5
Jurong East,2018,68400,9.2,12.4,13.3,12.5,14.1,16.6,21.9
Jurong West,2018,226500,16.8,11.8,9.7,15,16.2,15.8,14.7
Kallang/Whampoa,2018,93800,12,8.2,10.6,11.4,13.8,17,27
Marine Parade,2018,18700,12,6.3,7.1,15.6,11.6,13.3,34.1
Pasir Ris,2018,110400,12.9,19.8,12.7,11.4,16.7,17.1,9.4
Punggol,2018,140600,25.3,7,20.8,22.6,9.7,8.7,5.9
Queenstown,2018,76000,11.1,7.8,12.1,15,10.9,17.7,25.4
Sembawang,2018,76700,18.2,14.6,14.4,15.6,14.7,15.4,7.1
Sengkang,2018,208400,21.2,11.9,14.6,15.9,16.1,10.2,10.1
Serangoon,2018,61900,9.3,13.3,9.9,13,15.3,18.2,21
Tampines,2018,222300,15.9,12.7,14.3,12.7,11.9,18.4,14.1
Toa Payoh,2018,95000,10.7,12.6,8.1,12.3,14.5,16.4,25.4
Woodlands,2018,227600,16.2,18.7,10.5,14.1,17.3,12.7,10.5
Yishun,2018,185200,15.5,13.9,12.7,13.3,15,16.2,13.4
